epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,13539.2,2.82791,1.19272,2.07059,0.91902,0.88624,0.94256,0.58237,2.61836,0.97855,2.15103,0.004555,0.004555,0.004555
57,13780.1,2.82585,1.188,2.06657,0.91521,0.88756,0.94257,0.58164,2.61911,0.97759,2.15174,0.004456,0.004456,0.004456
58,14026.1,2.83125,1.19387,2.0668,0.91473,0.88808,0.94339,0.58173,2.61528,0.97583,2.1497,0.004357,0.004357,0.004357
59,14271.1,2.81392,1.18109,2.06779,0.9128,0.89066,0.94375,0.58426,2.61349,0.97259,2.15328,0.004258,0.004258,0.004258
60,14511.8,2.82612,1.18539,2.06178,0.91709,0.88602,0.94269,0.58332,2.61005,0.9678,2.14884,0.004159,0.004159,0.004159
61,14753,2.81567,1.17832,2.06343,0.91808,0.88679,0.94273,0.58481,2.6069,0.96729,2.14662,0.00406,0.00406,0.00406
62,14993.6,2.79759,1.16996,2.05742,0.91349,0.89057,0.94288,0.58587,2.60427,0.96607,2.14465,0.003961,0.003961,0.003961
63,15240.2,2.7962,1.1658,2.0559,0.91805,0.89073,0.94491,0.5857,2.60449,0.96256,2.14696,0.003862,0.003862,0.003862
64,15480.6,2.79967,1.17043,2.06171,0.91679,0.89558,0.94414,0.58593,2.60088,0.96257,2.14652,0.003763,0.003763,0.003763
65,15726.3,2.79179,1.16464,2.05236,0.91964,0.89584,0.9456,0.58678,2.59976,0.95908,2.14457,0.003664,0.003664,0.003664
66,15972.2,2.77587,1.1551,2.05087,0.91974,0.896,0.94624,0.58753,2.60048,0.95841,2.14632,0.003565,0.003565,0.003565
67,16212.6,2.78717,1.15759,2.05009,0.91976,0.892,0.94572,0.58735,2.59963,0.95458,2.14631,0.003466,0.003466,0.003466
68,16452.3,2.78439,1.15622,2.05164,0.91711,0.89427,0.94637,0.58789,2.59895,0.95541,2.14678,0.003367,0.003367,0.003367
69,16692.1,2.76432,1.14704,2.04256,0.91717,0.89123,0.94475,0.58867,2.59698,0.95561,2.14322,0.003268,0.003268,0.003268
70,16932.2,2.76745,1.14738,2.04229,0.91596,0.89142,0.94584,0.58917,2.59799,0.95374,2.1424,0.003169,0.003169,0.003169
71,17175,2.76335,1.13847,2.04794,0.92253,0.89132,0.94719,0.59066,2.59551,0.95298,2.14252,0.00307,0.00307,0.00307
72,17418.7,2.7639,1.13445,2.04542,0.91719,0.89218,0.94717,0.59102,2.59307,0.95229,2.14029,0.002971,0.002971,0.002971
73,17664.9,2.75089,1.12987,2.04137,0.91919,0.89528,0.94666,0.59053,2.59064,0.95198,2.138,0.002872,0.002872,0.002872
74,17907,2.74284,1.13213,2.03436,0.92017,0.89655,0.94791,0.59139,2.58979,0.94864,2.13715,0.002773,0.002773,0.002773
75,18149.6,2.74668,1.13304,2.03724,0.9217,0.89498,0.94834,0.59205,2.58754,0.94636,2.13429,0.002674,0.002674,0.002674
76,18396.1,2.75578,1.13323,2.03803,0.92071,0.89748,0.94895,0.59344,2.58636,0.94544,2.13475,0.002575,0.002575,0.002575
77,18642.4,2.741,1.1268,2.0356,0.92235,0.89637,0.94949,0.59374,2.58487,0.94371,2.13419,0.002476,0.002476,0.002476
78,18889.5,2.75063,1.12666,2.03464,0.9192,0.89663,0.94907,0.5943,2.58346,0.9431,2.13239,0.002377,0.002377,0.002377
79,19135.8,2.73725,1.11863,2.03254,0.92016,0.89691,0.94923,0.5947,2.58208,0.94229,2.13109,0.002278,0.002278,0.002278
80,19379.8,2.73708,1.11528,2.02918,0.9198,0.90102,0.94999,0.5947,2.58257,0.94003,2.12988,0.002179,0.002179,0.002179
81,19621.6,2.72979,1.11034,2.03094,0.92482,0.89726,0.95037,0.59515,2.58031,0.93766,2.12896,0.00208,0.00208,0.00208
82,19863,2.72471,1.10638,2.0256,0.92325,0.89953,0.95099,0.59544,2.57957,0.93683,2.12768,0.001981,0.001981,0.001981
83,20103.4,2.71267,1.1049,2.01954,0.92453,0.8969,0.95059,0.5957,2.5788,0.9361,2.12613,0.001882,0.001882,0.001882
84,20349.2,2.7133,1.10479,2.02488,0.9213,0.89956,0.95112,0.59634,2.57755,0.935,2.12554,0.001783,0.001783,0.001783
85,20594.9,2.71361,1.09864,2.02461,0.92055,0.9015,0.95115,0.59671,2.57675,0.93386,2.12448,0.001684,0.001684,0.001684
86,20843.3,2.69833,1.09759,2.01638,0.92105,0.90211,0.95117,0.59647,2.5758,0.93266,2.12284,0.001585,0.001585,0.001585
87,21087.6,2.69159,1.09363,2.01669,0.91907,0.90482,0.95128,0.59685,2.57426,0.93152,2.12175,0.001486,0.001486,0.001486
88,21329.4,2.69711,1.09277,2.01685,0.92329,0.9006,0.95106,0.59689,2.57402,0.93041,2.12171,0.001387,0.001387,0.001387
89,21573.5,2.68856,1.08721,2.01973,0.92083,0.90127,0.95056,0.59757,2.5728,0.9301,2.12086,0.001288,0.001288,0.001288
90,21816.5,2.68831,1.08891,2.01366,0.9239,0.89878,0.95066,0.59791,2.57173,0.92968,2.11998,0.001189,0.001189,0.001189
91,22093.7,2.58918,0.99868,2.03107,0.92574,0.89745,0.95094,0.59813,2.57223,0.92972,2.11971,0.00109,0.00109,0.00109
92,22328.9,2.57481,0.98372,2.02869,0.92718,0.8961,0.95061,0.59837,2.57223,0.9295,2.1192,0.000991,0.000991,0.000991
93,22562.7,2.56346,0.98177,2.02603,0.92691,0.89628,0.9509,0.5986,2.57169,0.92849,2.11865,0.000892,0.000892,0.000892
94,22799.6,2.5588,0.9752,2.01943,0.92744,0.89651,0.95061,0.59882,2.57124,0.92745,2.11815,0.000793,0.000793,0.000793
95,23038.5,2.54989,0.97183,2.02609,0.92664,0.89791,0.9508,0.59914,2.57037,0.92745,2.11769,0.000694,0.000694,0.000694
96,23276.7,2.55017,0.9723,2.02024,0.92613,0.89763,0.95098,0.59926,2.57004,0.92748,2.11759,0.000595,0.000595,0.000595
97,23510.3,2.5424,0.96574,2.02689,0.92604,0.89674,0.95113,0.59921,2.57002,0.92686,2.11768,0.000496,0.000496,0.000496
98,23748,2.53989,0.96857,2.02084,0.92651,0.8961,0.95097,0.59907,2.56982,0.92651,2.11764,0.000397,0.000397,0.000397
99,23986,2.53581,0.96263,2.01647,0.92677,0.89738,0.95133,0.59949,2.56981,0.92575,2.11748,0.000298,0.000298,0.000298
100,24225.4,2.52722,0.9598,2.01373,0.92752,0.89658,0.95122,0.59963,2.56974,0.92502,2.11721,0.000199,0.000199,0.000199
